Market_and_Exchange_Names,Report_Date_as_MM_DD_YYYY,Comm_Net_All,NonComm_Net_All,NonRept_Net_All
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-08-20,-31288,40041,-8753
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-08-27,-32270,39840,-7570
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-09-03,-31971,40758,-8787
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-09-10,-14481,23882,-9401
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-09-17,-8035,14501,-6466
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-09-24,-11456,17126,-5670
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-10-01,-26645,35222,-8577
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-10-08,-41337,54109,-12772
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-10-15,-48975,61458,-12483
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-10-22,-51592,61557,-9965
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-10-29,-53521,64931,-11410
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-11-05,-57090,67836,-10746
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-11-12,-56711,67376,-10665
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-11-19,-52397,65491,-13094
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-11-26,-46874,59709,-12835
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-12-03,-54044,69299,-15255
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-12-10,-63630,80090,-16460
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-12-17,-63743,78600,-14857
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-12-24,-62537,77516,-14979
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2013-12-31,-68998,83461,-14463
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-01-07,-77176,94296,-17120
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-01-14,-83631,104544,-20913
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-01-21,-87104,110463,-23359
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-01-28,-92644,112869,-20225
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-02-04,-97040,118949,-21909
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-02-11,-100091,123025,-22934
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-02-18,-96936,118571,-21635
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-02-25,-91041,112261,-21220
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-03-04,-89762,109878,-20116
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-03-11,-89701,109447,-19746
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-03-18,-89465,110275,-20810
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-03-25,-90151,112193,-22042
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-04-01,-91589,112888,-21299
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-04-08,-102182,122181,-19999
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-04-15,-100725,120945,-20220
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-04-22,-99159,117317,-18158
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-04-29,-96535,114376,-17841
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-05-06,-90260,110026,-19766
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-05-13,-85581,104854,-19273
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-05-20,-87278,106643,-19365
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-05-27,-76673,95542,-18869
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-06-03,-72688,89457,-16769
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-06-10,-84955,101942,-16987
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-06-17,-79330,94962,-15632
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-06-24,-80144,95173,-15029
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-07-01,-78795,92843,-14048
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-07-08,-83918,97891,-13973
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-07-15,-84990,97524,-12534
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-07-22,-82002,93323,-11321
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-07-29,-82605,92179,-9574
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-08-05,-90670,101041,-10371
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-08-12,-85685,97433,-11748
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-08-19,-76640,86950,-10310
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-08-26,-66108,77595,-11487
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-09-02,-64619,76208,-11589
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-09-09,-76207,91614,-15407
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-09-16,-76642,95905,-19263
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-09-23,-72728,91388,-18660
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-09-30,-68550,84927,-16377
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-10-07,-76853,94736,-17883
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-10-14,-74783,94518,-19735
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-10-21,-72118,90003,-17885
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-10-28,-73760,91417,-17657
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-11-04,-71038,89274,-18236
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-11-11,-71896,87523,-15627
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-11-18,-78920,94440,-15520
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-11-25,-87700,105234,-17534
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-12-02,-86992,103777,-16785
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-12-09,-81167,96980,-15813
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-12-16,-67867,86885,-19018
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-12-23,-49467,63400,-13933
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2014-12-30,-53450,65858,-12408
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-01-06,-50265,61876,-11611
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-01-13,-50623,62657,-12034
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-01-20,-43880,53422,-9542
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-01-27,-37859,48260,-10401
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-02-03,-31260,42209,-10949
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-02-10,-28655,39814,-11159
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-02-17,-25871,36781,-10910
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-02-24,-26432,38159,-11727
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-03-03,-24897,35792,-10895
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-03-10,-29422,39938,-10516
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-03-17,-30542,41976,-11434
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-03-24,-41242,53733,-12491
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-03-31,-45647,56917,-11270
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-04-07,-54217,66978,-12761
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-04-14,-58699,72224,-13525
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-04-21,-53524,67553,-14029
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-04-28,-56849,70395,-13546
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-05-05,-61904,75561,-13657
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-05-12,-66177,79811,-13634
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-05-19,-71203,85358,-14155
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-05-26,-70127,84191,-14064
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-06-02,-68299,81812,-13513
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-06-09,-71930,86615,-14685
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-06-16,-66420,80893,-14473
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-06-23,-60082,74019,-13937
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-06-30,-51247,66326,-15079
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-07-07,-45605,60240,-14635
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-07-14,-33562,44044,-10482
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-07-21,-21378,30689,-9311
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-07-28,-12118,19794,-7676
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-08-04,-4345,9082,-4737
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-08-11,-9922,13612,-3690
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-08-18,-8143,14058,-5915
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-08-25,-499,9820,-9321
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-09-01,4649,3405,-8054
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-09-08,9813,-3152,-6661
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-09-15,15039,-5366,-9673
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-09-22,23347,-12391,-10956
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-09-29,22967,-11442,-11525
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-10-06,18948,-10083,-8865
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-10-13,30608,-20554,-10054
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-10-20,31691,-19855,-11836
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-10-27,26713,-12503,-14210
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-11-03,23568,-11226,-12342
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-11-10,22259,-11245,-11014
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-11-17,24612,-11641,-12971
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-11-24,23585,-11011,-12574
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-12-01,26346,-14006,-12340
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-12-08,25496,-11623,-13873
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-12-15,21326,-8790,-12536
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-12-22,23133,-8909,-14224
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2015-12-29,28519,-11881,-16638
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-01-05,25058,-6946,-18112
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-01-12,19149,-1683,-17466
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-01-19,19762,-1717,-18045
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-01-26,17868,-3726,-14142
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-02-02,20772,-6373,-14399
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-02-09,13693,1817,-15510
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-02-16,12439,1716,-14155
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-02-23,6840,5924,-12764
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-03-01,2036,13894,-15930
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-03-08,-4316,18930,-14614
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-03-15,-18152,32666,-14514
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-03-22,-22106,38024,-15918
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-03-29,-15199,27738,-12539
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-04-05,-10673,23865,-13192
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-04-12,-10929,21897,-10968
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-04-19,-10102,20902,-10800
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-04-26,-7168,17595,-10427
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-05-03,-7150,15454,-8304
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-05-10,-6839,14735,-7896
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-05-17,-21649,33764,-12115
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-05-24,-17992,29416,-11424
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-05-31,-19128,29046,-9918
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-06-07,-14911,26995,-12084
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-06-14,-15557,25874,-10317
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-06-21,-10694,17979,-7285
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-06-28,-7968,15391,-7423
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-07-05,-7124,16477,-9353
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-07-12,-2990,12089,-9099
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-07-19,-8995,17637,-8642
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-07-26,-11440,21014,-9574
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-08-02,-19941,31855,-11914
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-08-09,-22080,36511,-14431
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-08-16,-20201,33861,-13660
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-08-23,-23441,32997,-9556
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-08-30,-12381,20069,-7688
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-09-06,-9413,15466,-6053
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-09-13,-5942,12959,-7017
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-09-20,-6639,14632,-7993
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-09-27,-7767,18021,-10254
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-10-04,-10053,17558,-7505
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-10-11,-8976,16340,-7364
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-10-18,-6063,13851,-7788
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-10-25,-7597,19271,-11674
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-11-01,-13299,26197,-12898
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-11-08,-11103,23331,-12228
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-11-15,-14581,28582,-14001
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-11-22,-28389,46492,-18103
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-11-29,-38412,57348,-18936
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-12-06,-47958,67089,-19131
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-12-13,-51832,72322,-20490
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-12-20,-58603,81073,-22470
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2016-12-27,-63104,86989,-23885
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-01-03,-65628,88587,-22959
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-01-10,-68621,92307,-23686
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-01-17,-69317,94746,-25429
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-01-24,-69911,96024,-26113
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-01-31,-70984,96293,-25309
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-02-07,-72755,96435,-23680
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-02-14,-68415,91018,-22603
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-02-21,-64441,88369,-23928
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-02-28,-69760,90191,-20431
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-03-07,-70153,90142,-19989
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-03-14,-73709,93388,-19679
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-03-21,-80263,103176,-22913
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-03-28,-88368,112015,-23647
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-04-04,-88148,113132,-24984
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-04-11,-96379,122037,-25658
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-04-18,-103150,129808,-26658
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-04-25,-104567,130514,-25947
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-05-02,-103388,127907,-24519
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-05-09,-102281,123801,-21520
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-05-16,-106239,126370,-20131
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-05-23,-109144,131738,-22594
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-05-30,-110766,130893,-20127
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-06-06,-113513,134951,-21438
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-06-13,-112547,135992,-23445
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-06-20,-108692,132067,-23375
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-06-27,-105375,127780,-22405
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-07-03,-97087,120005,-22918
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-07-11,-94336,114766,-20430
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-07-18,-90361,111326,-20965
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-07-25,-89602,109857,-20255
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-08-01,-89860,107633,-17773
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-08-08,-86160,105415,-19255
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-08-15,-76449,93626,-17177
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-08-22,-74458,92980,-18522
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-08-29,-66603,86412,-19809
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-09-05,-62540,83161,-20621
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-09-12,-64440,87836,-23396
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-09-19,-69675,93166,-23491
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-09-26,-75956,98436,-22480
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-10-03,-84769,107083,-22314
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-10-10,-87796,112083,-24287
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-10-17,-87284,113033,-25749
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-10-24,-93627,119628,-26001
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-10-31,-100302,127509,-27207
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-11-07,-110013,138758,-28745
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-11-14,-109029,138543,-29514
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-11-21,-104256,129989,-25733
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-11-28,-104082,128744,-24662
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-12-05,-100260,124538,-24278
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-12-12,-90475,110840,-20365
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-12-19,-84076,103522,-19446
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2017-12-26,-75913,94735,-18822
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-01-02,-75481,93461,-17980
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-01-09,-69603,88337,-18734
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-01-16,-66182,82350,-16168
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-01-23,-69761,91460,-21699
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-01-30,-72529,94043,-21514
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-02-06,-79259,101987,-22728
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-02-13,-78672,100314,-21642
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-02-20,-84561,107019,-22458
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-02-27,-83407,104739,-21332
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-03-06,-76049,96215,-20166
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-03-13,-68153,88160,-20007
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-03-20,-55725,73282,-17557
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-03-27,-40317,56427,-16110
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-04-03,-32603,45142,-12539
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-04-10,-25070,34979,-9909
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-04-17,-20070,29066,-8996
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-04-24,-15312,22720,-7408
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-05-01,-11536,17140,-5604
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-05-08,-11670,18061,-6391
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-05-15,-6691,11304,-4613
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-05-22,-9100,12247,-3147
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-05-29,-8555,13424,-4869
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-06-05,-7327,12793,-5466
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-06-12,-9418,18737,-9319
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-06-19,-11496,20613,-9117
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-06-26,-10724,19026,-8302
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-07-03,-15217,23439,-8222
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-07-10,-32651,41355,-8704
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-07-17,-34179,42595,-8416
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-07-24,-40586,52573,-11987
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-07-31,-43659,55159,-11500
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-08-07,-50533,62644,-12111
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-08-14,-50242,60603,-10361
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-08-21,-55735,67884,-12149
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-08-28,-53933,65129,-11196
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-09-04,-53828,65531,-11703
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-09-11,-48937,61009,-12072
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-09-18,-65169,80755,-15586
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-09-25,-68226,84190,-15964
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-10-02,-69386,86869,-17483
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-10-09,-69536,86622,-17086
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-10-16,-69210,85076,-15866
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-10-23,-68642,84461,-15819
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-10-30,-64508,79322,-14814
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-11-06,-63900,75627,-11727
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-11-13,-56725,67642,-10917
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-11-20,-59786,70513,-10727
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-11-27,-65093,77532,-12439
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-12-04,-65986,80038,-14052
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-12-11,-70665,85333,-14668
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-12-18,-76632,95277,-18645
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-12-24,-77657,94814,-17157
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2018-12-31,-84622,104294,-19672
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2019-01-08,-82967,102856,-19889
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2019-01-15,-87232,107913,-20681
LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE,2019-01-22,-86606,107019,-20413
