Market_and_Exchange_Names,Report_Date_as_MM_DD_YYYY,Comm_Net_All,NonComm_Net_All,NonRept_Net_All
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-08-31,-37,-1092,1129
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-09-07,-115,-1094,1209
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-09-14,86,-1187,1101
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-09-21,26,-1025,999
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-09-28,178,-883,705
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-10-05,554,-1518,964
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-10-12,555,-1426,871
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-10-19,246,-2846,2600
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-10-26,583,-4412,3829
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-11-02,421,-1612,1191
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-11-09,223,-1467,1244
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-11-16,357,-1478,1121
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-11-23,729,-160,-569
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-11-30,697,-1691,994
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-12-07,117,-908,791
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-12-14,257,-772,515
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-12-21,39,-878,839
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2021-12-28,-224,-542,766
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-01-04,-93,-604,697
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-01-11,-182,-377,559
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-01-18,-22,-549,571
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-01-25,-478,-34,512
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-02-01,-491,141,350
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-02-08,-189,-319,508
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-02-15,-213,-215,428
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-02-22,-256,-283,539
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-03-01,-517,80,437
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-03-08,-422,265,157
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-03-15,-453,190,263
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-03-22,-481,0,481
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-03-29,-411,-271,682
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-04-05,-397,-244,641
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-04-12,-439,167,272
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-04-19,-175,-194,369
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-04-26,-426,412,14
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-05-03,-429,388,41
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-05-10,-789,703,86
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-05-17,-875,806,69
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-05-24,-817,849,-32
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-05-31,-503,403,100
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-06-07,-529,490,39
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-06-14,-947,1061,-114
BITCOIN - CHICAGO MERCANTILE EXCHANGE,2022-06-21,-995,1046,-51
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-01-06,-42250,31269,10981
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-01-13,-43266,30344,12922
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-01-20,-43327,29839,13488
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-01-27,-41659,27980,13679
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-02-03,-41736,28077,13659
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-02-10,-39976,26688,13288
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-02-17,-41105,28887,12218
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-02-24,-36270,25533,10737
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-03-02,-35603,23635,11968
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-03-09,-28698,19773,8925
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-03-16,-29350,19792,9558
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-03-23,-27199,18582,8617
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-03-30,-23493,14759,8734
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-04-06,-16327,9209,7118
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-04-12,-15171,7334,7837
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-04-20,-15373,8774,6599
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-04-27,-12498,8180,4318
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-05-04,-10750,7302,3448
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-05-11,-10043,6923,3120
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-05-18,-8872,7092,1780
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-05-25,-13551,8491,5060
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-06-01,-17915,12106,5809
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-06-08,-15033,9805,5228
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-06-15,-6473,3863,2610
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-06-22,-4889,2695,2194
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-06-29,-9934,6498,3436
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-07-06,-12035,8018,4017
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-07-13,-22353,16295,6058
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-07-20,-24571,18172,6399
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-07-27,-19213,14590,4623
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-08-03,-23656,16390,7266
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-08-10,-18591,12388,6203
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-08-17,-27286,19372,7914
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-08-24,-19487,13552,5935
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-08-31,-22186,15478,6708
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-09-07,-18838,12646,6192
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-09-14,-21692,15167,6525
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-09-21,-27651,19517,8134
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-09-28,-32984,24035,8949
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-10-05,-35819,28247,7572
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-10-12,-36333,29654,6679
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-10-19,-19757,13279,6478
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-10-26,-16951,11638,5313
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-11-02,-16634,12161,4473
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-11-09,-21401,14609,6792
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-11-16,-22788,16039,6749
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-11-23,-31470,24906,6564
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-11-30,-34921,28262,6659
COPPER- #1 - COMMODITY EXCHANGE INC.,2004-12-07,-29961,24000,5961
